Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Caballeronia glathei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia glathei	g__Caballeronia	s__Caballeronia glathei	RS_GCF_000698595.1	t	aerobe	aerobe	5246
Sulfurimonas autotrophica	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas autotrophica	g__Sulfurimonas	s__Sulfurimonas autotrophica	RS_GCF_000147355.1	t	microaerophile	aerobe	5246
Arsenicitalea aurantiaca	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Arsenicitalea;s__Arsenicitalea aurantiaca	g__Arsenicitalea	s__Arsenicitalea aurantiaca	RS_GCF_003994485.1	t	aerobe	aerobe	5245
Herminiimonas fonticola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__Herminiimonas fonticola	g__Herminiimonas	s__Herminiimonas fonticola	RS_GCF_003293745.1	t	aerobe	aerobe	5244
Virgibacillus pantothenticus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus pantothenticus	g__Virgibacillus	s__Virgibacillus pantothenticus	RS_GCF_001189575.1	t	facultative anaerobe	aerobe	5238
Conservatibacter flavescens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Conservatibacter;s__Conservatibacter flavescens	g__Conservatibacter	s__Conservatibacter flavescens	RS_GCF_002795425.1	t	aerobe	aerobe	5238
Methanimicrococcus blatticola	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola	g__Methanimicrococcus	s__Methanimicrococcus blatticola	RS_GCF_004363215.1	t	anaerobe	anaerobe	5233
Lachnoanaerobaculum umeaense	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum umeaense	g__Lachnoanaerobaculum	s__Lachnoanaerobaculum umeaense	RS_GCF_003589745.1	t	anaerobe	anaerobe	5229
Mucilaginibacter paludis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter paludis	g__Mucilaginibacter	s__Mucilaginibacter paludis	RS_GCF_000166195.2	t	facultative aerobe	aerobe	5214
Niveibacterium umoris	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Niveibacterium;s__Niveibacterium umoris	g__Niveibacterium	s__Niveibacterium umoris	RS_GCF_014197015.1	t	facultative anaerobe	aerobe	5202
Microbacter margulisiae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Microbacter;s__Microbacter margulisiae	g__Microbacter	s__Microbacter margulisiae	RS_GCF_014192515.1	t	anaerobe	anaerobe	5193
Taylorella equigenitalis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Taylorella;s__Taylorella equigenitalis	g__Taylorella	s__Taylorella equigenitalis	RS_GCF_000276685.1	t	microaerophile	aerobe	5176
Fodinicurvata sediminis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__Fodinicurvata;s__Fodinicurvata sediminis	g__Fodinicurvata	s__Fodinicurvata sediminis	RS_GCF_000420625.1	t	facultative anaerobe	aerobe	5170
Desulfurella acetivorans	d__Bacteria;p__Campylobacterota;c__Desulfurellia;o__Desulfurellales;f__Desulfurellaceae;g__Desulfurella;s__Desulfurella acetivorans	g__Desulfurella	s__Desulfurella acetivorans	RS_GCF_000517565.1	t	anaerobe	anaerobe	5170
Youngiibacter fragilis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Youngiibacter;s__Youngiibacter fragilis	g__Youngiibacter	s__Youngiibacter fragilis	RS_GCF_000495435.3	t	anaerobe	anaerobe	5165
Pelosinus fermentans	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Propionisporales;f__Propionisporaceae;g__Pelosinus;s__Pelosinus fermentans	g__Pelosinus	s__Pelosinus fermentans	RS_GCF_000271485.2	t	anaerobe	anaerobe	5163
Microbulbifer hydrolyticus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Microbulbifer;s__Microbulbifer hydrolyticus	g__Microbulbifer	s__Microbulbifer hydrolyticus	RS_GCF_009931115.1	t	facultative aerobe	aerobe	5161
Perlucidibaca piscinae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;s__Perlucidibaca piscinae	g__Perlucidibaca	s__Perlucidibaca piscinae	RS_GCF_000420045.1	t	facultative aerobe	aerobe	5159
Ktedonobacter racemifer	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter;s__Ktedonobacter racemifer	g__Ktedonobacter	s__Ktedonobacter racemifer	RS_GCF_000178855.1	t	aerobe	aerobe	5155
Carboxydothermus hydrogenoformans	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Carboxydothermales;f__Carboxydothermaceae;g__Carboxydothermus;s__Carboxydothermus hydrogenoformans	g__Carboxydothermus	s__Carboxydothermus hydrogenoformans	RS_GCF_000012865.1	t	anaerobe	anaerobe	5150
Chlorobaculum tepidum	d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum	g__Chlorobaculum	s__Chlorobaculum tepidum	RS_GCF_000006985.1	t	anaerobe,obligate anaerobe	anaerobe	5145
Imtechella halotolerans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella halotolerans	g__Imtechella	s__Imtechella halotolerans	RS_GCF_000260835.1	t	aerobe	aerobe	5142
Rhodococcus rhodochrous	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus rhodochrous	g__Rhodococcus	s__Rhodococcus rhodochrous	RS_GCF_900187265.1	t	aerobe	aerobe	5142
Limimaricola hongkongensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limimaricola;s__Limimaricola hongkongensis	g__Limimaricola	s__Limimaricola hongkongensis	RS_GCF_000600975.2	t	aerobe	aerobe	5142
Kriegella aquimaris	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kriegella;s__Kriegella aquimaris	g__Kriegella	s__Kriegella aquimaris	RS_GCF_900103215.1	t	aerobe	aerobe	5142
Compostimonas suwonensis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Compostimonas;s__Compostimonas suwonensis	g__Compostimonas	s__Compostimonas suwonensis	RS_GCF_002797855.1	t	aerobe	aerobe	5140
Lachnobacterium bovis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnobacterium;s__Lachnobacterium bovis	g__Lachnobacterium	s__Lachnobacterium bovis	RS_GCF_900107245.1	t	anaerobe	anaerobe	5133
Gellertiella hungarica	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Gellertiella;s__Gellertiella hungarica	g__Gellertiella	s__Gellertiella hungarica	RS_GCF_014197145.1	t	obligate aerobe	aerobe	5128
Varunaivibrio sulfuroxidans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__Varunaivibrio;s__Varunaivibrio sulfuroxidans	g__Varunaivibrio	s__Varunaivibrio sulfuroxidans	RS_GCF_004341725.1	t	facultative anaerobe,microaerophile	aerobe	5128
Sneathiella chinensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__Sneathiella;s__Sneathiella chinensis	g__Sneathiella	s__Sneathiella chinensis	RS_GCF_012720115.1	t	aerobe	aerobe	5118
Mongoliimonas terrestris	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Mongoliimonas;s__Mongoliimonas terrestris	g__Mongoliimonas	s__Mongoliimonas terrestris	RS_GCF_001927285.1	t	aerobe	aerobe	5116
Sneathia sanguinegens	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens	g__Sneathia	s__Sneathia sanguinegens	RS_GCF_001517935.1	t	anaerobe	anaerobe	5115
Carboxydocella thermautotrophica	d__Bacteria;p__Firmicutes_B;c__Thermincolia;o__Carboxydocellales;f__Carboxydocellaceae;g__Carboxydocella;s__Carboxydocella thermautotrophica	g__Carboxydocella	s__Carboxydocella thermautotrophica	RS_GCF_003054495.1	t	anaerobe	anaerobe	5114
Humibacillus xanthopallidus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Humibacillus;s__Humibacillus xanthopallidus	g__Humibacillus	s__Humibacillus xanthopallidus	RS_GCF_006716675.1	t	aerobe	aerobe	5111
Tropicibacter naphthalenivorans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter naphthalenivorans	g__Tropicibacter	s__Tropicibacter naphthalenivorans	RS_GCF_900176475.1	t	aerobe	aerobe	5109
Caldibacillus debilis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Caldibacillaceae;g__Caldibacillus;s__Caldibacillus debilis	g__Caldibacillus	s__Caldibacillus debilis	RS_GCF_000383875.1	t	aerobe	aerobe	5100
Sulfurovum lithotrophicum	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum lithotrophicum	g__Sulfurovum	s__Sulfurovum lithotrophicum	RS_GCF_000987835.1	t	anaerobe	anaerobe	5098
Methanosphaerula palustris	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanosphaerulaceae;g__Methanosphaerula;s__Methanosphaerula palustris	g__Methanosphaerula	s__Methanosphaerula palustris	RS_GCF_000021965.1	t	anaerobe	anaerobe	5094
Coriobacterium glomerans	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium;s__Coriobacterium glomerans	g__Coriobacterium	s__Coriobacterium glomerans	RS_GCF_000195315.1	t	anaerobe	anaerobe	5080
Holdemanella biformis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	g__Holdemanella	s__Holdemanella biformis	RS_GCF_000156655.1	t	anaerobe	anaerobe	5077
Desulfurispira natronophila	d__Bacteria;p__Chrysiogenetota;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Desulfurispira;s__Desulfurispira natronophila	g__Desulfurispira	s__Desulfurispira natronophila	RS_GCF_014203025.1	t	anaerobe	anaerobe	5074
Chitinivibrio alkaliphilus	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinivibrionaceae;g__Chitinivibrio;s__Chitinivibrio alkaliphilus	g__Chitinivibrio	s__Chitinivibrio alkaliphilus	RS_GCF_000474745.1	t	anaerobe	anaerobe	5064
Keratinibaculum paraultunense	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__Keratinibaculum;s__Keratinibaculum paraultunense	g__Keratinibaculum	s__Keratinibaculum paraultunense	RS_GCF_004343355.1	t	anaerobe	anaerobe	5061
Jatrophihabitans endophyticus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__Jatrophihabitans endophyticus	g__Jatrophihabitans	s__Jatrophihabitans endophyticus	RS_GCF_900129455.1	t	aerobe	aerobe	5056
Sediminibacterium salmoneum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium salmoneum	g__Sediminibacterium	s__Sediminibacterium salmoneum	RS_GCF_000511175.1	t	aerobe	aerobe	5049
Chiayiivirga flava	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Chiayiivirga;s__Chiayiivirga flava	g__Chiayiivirga	s__Chiayiivirga flava	RS_GCF_014202825.1	t	aerobe	aerobe	5047
Marinifilum fragile	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Marinifilum;s__Marinifilum fragile	g__Marinifilum	s__Marinifilum fragile	RS_GCF_001310955.1	t	facultative anaerobe	aerobe	5043
Anaerospora hongkongensis	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Sporomusales;f__Thermosinaceae;g__Anaerospora;s__Anaerospora hongkongensis	g__Anaerospora	s__Anaerospora hongkongensis	RS_GCF_004339805.1	t	anaerobe	anaerobe	5042
Dorea formicigenerans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans	g__Dorea	s__Dorea formicigenerans	RS_GCF_000169235.1	t	anaerobe	anaerobe	5041
Haloactinospora alba	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Haloactinospora;s__Haloactinospora alba	g__Haloactinospora	s__Haloactinospora alba	RS_GCF_006717075.1	t	aerobe	aerobe	5041
Halalkalibacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Alkalibacillaceae;g__Halalkalibacillus;s__Halalkalibacillus halophilus	g__Halalkalibacillus	s__Halalkalibacillus halophilus	RS_GCF_000423105.1	t	aerobe	aerobe	5038
Peptoclostridium litorale	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptoclostridium;s__Peptoclostridium litorale	g__Peptoclostridium	s__Peptoclostridium litorale	RS_GCF_900141635.1	t	anaerobe,obligate anaerobe	anaerobe	5038
Thiohalomonas denitrificans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae;g__Thiohalomonas;s__Thiohalomonas denitrificans	g__Thiohalomonas	s__Thiohalomonas denitrificans	RS_GCF_900102855.1	t	anaerobe	anaerobe	5035
Salisaeta longa	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salisaeta;s__Salisaeta longa	g__Salisaeta	s__Salisaeta longa	RS_GCF_000419585.1	t	aerobe	aerobe	5019
Mesosutterella multiformis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella;s__Mesosutterella multiformis	g__Mesosutterella	s__Mesosutterella multiformis	RS_GCF_003402575.1	t	obligate anaerobe	anaerobe	5017
Salinicoccus roseus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Salinicoccus;s__Salinicoccus roseus	g__Salinicoccus	s__Salinicoccus roseus	RS_GCF_003814515.1	t	aerobe	aerobe	5016
Ruficoccus amylovorans	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__KCTC-12870;g__Ruficoccus;s__Ruficoccus amylovorans	g__Ruficoccus	s__Ruficoccus amylovorans	RS_GCF_014230085.1	t	aerobe	aerobe	5015
Schlesneria paludicola	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria;s__Schlesneria paludicola	g__Schlesneria	s__Schlesneria paludicola	RS_GCF_000255655.1	t	facultative aerobe	aerobe	5005
Enteroscipio rubneri	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enteroscipio;s__Enteroscipio rubneri	g__Enteroscipio	s__Enteroscipio rubneri	RS_GCF_002899715.1	t	obligate anaerobe	anaerobe	4996
Rudaea cellulosilytica	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__Rudaea cellulosilytica	g__Rudaea	s__Rudaea cellulosilytica	RS_GCF_000378125.1	t	aerobe	aerobe	4989
Rubrobacter radiotolerans	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacter radiotolerans	g__Rubrobacter	s__Rubrobacter radiotolerans	RS_GCF_900175965.1	t	aerobe	aerobe	4985
Nitrosopumilus maritimus	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	g__Nitrosopumilus	s__Nitrosopumilus maritimus	RS_GCF_000018465.1	t	aerobe	aerobe	4981
Halolactibacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Halolactibacillus;s__Halolactibacillus halophilus	g__Halolactibacillus	s__Halolactibacillus halophilus	RS_GCF_900115605.1	t	microaerophile	aerobe	4980
Ottowia thiooxydans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia thiooxydans	g__Ottowia	s__Ottowia thiooxydans	RS_GCF_000422885.1	t	facultative anaerobe	aerobe	4971
Methanogenium cariaci	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__Methanogenium cariaci	g__Methanogenium	s__Methanogenium cariaci	RS_GCF_001315945.1	t	anaerobe	anaerobe	4962
Zobellella denitrificans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Zobellella;s__Zobellella denitrificans	g__Zobellella	s__Zobellella denitrificans	RS_GCF_002237365.1	t	facultative anaerobe	aerobe	4955
Frondihabitans australicus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Frondihabitans;s__Frondihabitans australicus	g__Frondihabitans	s__Frondihabitans australicus	RS_GCF_003634555.1	t	aerobe	aerobe	4953
Ciceribacter lividus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium lividum	g__Allorhizobium	s__Allorhizobium lividum	RS_GCF_003337715.1	t	aerobe	aerobe	4950
Aquaspirillum serpens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__Aquaspirillum serpens	g__Aquaspirillum	s__Aquaspirillum serpens	RS_GCF_000420525.1	t	aerobe,microaerophile	aerobe	4947
Shinella granuli	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__Shinella granuli	g__Shinella	s__Shinella granuli	RS_GCF_004341885.1	t	aerobe	aerobe	4946
Pseudacidovorax intermedius	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudacidovorax;s__Pseudacidovorax intermedius	g__Pseudacidovorax	s__Pseudacidovorax intermedius	RS_GCF_003350475.1	t	aerobe,facultative aerobe	aerobe	4944
Woeseia oceani	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__Woeseia;s__Woeseia oceani	g__Woeseia	s__Woeseia oceani	RS_GCF_001677435.1	t	facultative anaerobe	aerobe	4939
Pyrobaculum islandicum	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum islandicum	g__Pyrobaculum	s__Pyrobaculum islandicum	RS_GCF_000015205.1	t	anaerobe	anaerobe	4937
Caloramator fervidus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Caloramator;s__Caloramator fervidus	g__Caloramator	s__Caloramator fervidus	RS_GCF_900108045.1	t	anaerobe	anaerobe	4932
Endobacter medicaginis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Endobacter;s__Endobacter medicaginis	g__Endobacter	s__Endobacter medicaginis	RS_GCF_014192375.1	t	aerobe	aerobe	4926
Parasporobacterium paucivorans	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Parasporobacterium;s__Parasporobacterium paucivorans	g__Parasporobacterium	s__Parasporobacterium paucivorans	RS_GCF_900141895.1	t	anaerobe	anaerobe	4921
Marinimicrobium koreense	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Marinimicrobium;s__Marinimicrobium koreense	g__Marinimicrobium	s__Marinimicrobium koreense	RS_GCF_003762925.1	t	aerobe	aerobe	4920
Paucisalibacillus globulus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Ornithinibacillus;s__Ornithinibacillus globulus	g__Ornithinibacillus	s__Ornithinibacillus globulus	RS_GCF_000482485.1	t	aerobe	aerobe	4917
Pseudobutyrivibrio ruminis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio ruminis	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio ruminis	RS_GCF_900218035.1	t	anaerobe	anaerobe	4914
Thermanaeromonas toyohensis	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Moorellales;f__Moorellaceae;g__Thermanaeromonas;s__Thermanaeromonas toyohensis	g__Thermanaeromonas	s__Thermanaeromonas toyohensis	RS_GCF_900176005.1	t	anaerobe	anaerobe	4913
Aliidongia dinghuensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Aliidongia;s__Aliidongia dinghuensis	g__Aliidongia	s__Aliidongia dinghuensis	GB_GCA_014643535.1	t	aerobe	aerobe	4912
Methanosphaera stadtmanae	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera stadtmanae	g__Methanosphaera	s__Methanosphaera stadtmanae	RS_GCF_000012545.1	t	anaerobe	anaerobe	4896
Weissella viridescens	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella viridescens	g__Weissella	s__Weissella viridescens	RS_GCF_001437355.1	t	microaerophile	aerobe	4893
Barnesiella viscericola	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella viscericola	g__Barnesiella	s__Barnesiella viscericola	RS_GCF_000512915.1	t	anaerobe	anaerobe	4881
Hydrogenispora ethanolica	d__Bacteria;p__Firmicutes_G;c__UBA4882;o__UBA8346;f__UBA8346;g__Hydrogenispora;s__Hydrogenispora ethanolica	g__Hydrogenispora	s__Hydrogenispora ethanolica	RS_GCF_004340685.1	t	anaerobe	anaerobe	4878
Haloactinopolyspora alba	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae;g__Haloactinopolyspora;s__Haloactinopolyspora alba	g__Haloactinopolyspora	s__Haloactinopolyspora alba	RS_GCF_003014555.1	t	aerobe	aerobe	4875
